Animal_No,Cep55_genotype,Animal_Age,Section_no,CC3,CC3_green,CC3_red,CC3_yellow,slide,pos,z
1865,HT,e12,NA,6,0,0,3,3,3,NA
1865,HT,e12,NA,1,0,0,7,3,2,NA
1865,HT,e12,NA,4,0,0,1,8,2,NA
2466,WT,e16,NA,1,0,0,48,8,5,NA
2466,WT,e16,NA,0,0,0,31,8,7,NA
2466,WT,e16,NA,2,0,0,35,8,4,NA
1865,HT,e12,NA,10,1,0,96,8,3,8
1865,HT,e12,NA,10,0,0,49,8,1,NA
2463,HT,e16,NA,8,0,0,29,6,3,7
2463,HT,e16,NA,11,0,0,17,6,5,NA
1516,HT,p0,NA,0,0,0,10,7,4,NA
1516,HT,p0,NA,0,0,0,7,7,6,A
1525,WT,p0,NA,0,0,0,13,8,3,4
1525,WT,p0,NA,0,0,0,15,8,4,NA
1866,WT,e12,NA,46,0,6,4,5,3,NA
